title,company,location,jobType,salaryRange,description,skillsRequired
Customer Success Specialist,PeoplePilot SaaS,Ahmedabad,Full-time,5-8 LPA,Support recruiters using the platform and improve onboarding.,"Customer Support, CRM, Communication, Problem Solving"
Cybersecurity Analyst,SecureHire Networks,Pune,Full-time,12-18 LPA,Monitor security posture and protect user and hiring data.,"Security, SIEM, Incident Response, Networking"
Business Analyst,GrowthAxis Consulting,Delhi,Full-time,8-12 LPA,Translate stakeholder needs into product requirements and workflow improvements.,"Business Analysis, SQL, Documentation, Stakeholder Management"
Frontend Intern,Launchpad Studio,Remote,Internship,20k/month,Support UI implementation for dashboards and job listing experiences.,"HTML, CSS, JavaScript, React"
HR Operations Executive,WorkWave People Ops,Jaipur,Full-time,4-7 LPA,Handle onboarding coordination and day-to-day hiring operations support.,"HR Operations, Documentation, Excel, Coordination"
Sales Development Representative,RecruitReach Cloud,Mumbai,Full-time,6-10 LPA,Generate pipeline with outreach campaigns targeting hiring teams.,"Lead Generation, Sales, CRM, Communication"
Java Developer,EnterpriseHire Solutions,Chennai,Full-time,9-15 LPA,Develop enterprise services supporting recruiting workflows.,"Java, Spring Boot, SQL, Microservices"
Cloud Support Engineer,NimbusWorks Tech,Hyderabad,Full-time,7-11 LPA,Troubleshoot cloud infrastructure issues and support platform operations.,"AWS, Troubleshooting, Linux, Networking"
Python Developer,CodeOrbit Labs,Bengaluru,Full-time,10-15 LPA,Build backend services and automation workflows supporting hiring intelligence products.,"Python, Django, REST, PostgreSQL"
React Developer,PixelForge Systems,Remote,Full-time,9-14 LPA,Create polished web interfaces for job seekers and recruiters.,"React, JavaScript, CSS, API Integration"
SEO Specialist,RankRise Media,Delhi,Full-time,5-8 LPA,Improve search visibility for hiring pages and employer branding campaigns.,"SEO, Analytics, Content Strategy, Keyword Research"
Digital Marketing Executive,LeadBridge Growth,Mumbai,Full-time,4-7 LPA,Run digital campaigns to attract recruiters and job seekers.,"Digital Marketing, Meta Ads, Google Ads, Analytics"
Software Tester,QualityArc Tech,Chennai,Full-time,6-9 LPA,Test product releases and validate workflows across web features.,"Manual Testing, Bug Tracking, Test Cases, QA"
Support Engineer,HelpGrid Technologies,Pune,Full-time,5-9 LPA,Resolve platform issues and assist enterprise customers.,"Technical Support, Troubleshooting, SQL, Communication"
HR Recruiter,TalentMint Services,Noida,Full-time,4-7 LPA,Handle sourcing interview scheduling and hiring coordination.,"Recruitment, Screening, Coordination, Communication"
Operations Analyst,ScaleOps Consulting,Hyderabad,Full-time,7-10 LPA,Analyze workflows and improve operational efficiency for recruiting teams.,"Operations, Excel, Analysis, Process Improvement"
Graphic Designer,BrightCanvas Studio,Remote,Contract,5-8 LPA,Design employer branding assets and campaign visuals.,"Photoshop, Illustrator, Branding, Visual Design"
Android Developer,HireMate Mobile,Kochi,Full-time,8-13 LPA,Build native Android experiences for job discovery and alerts.,"Android, Kotlin, APIs, SQLite"
iOS Developer,BlueWave Apps,Remote,Full-time,10-16 LPA,Develop iOS experiences focused on professional networking and jobs.,"Swift, iOS, REST, UIKit"
Finance Analyst,LedgerPeak Advisory,Gurugram,Full-time,8-12 LPA,Model hiring budgets and track revenue metrics.,"Finance, Excel, Forecasting, Analysis"
Talent Acquisition Specialist,NextRole Partners,Bengaluru,Full-time,6-10 LPA,Own full-cycle recruiting for technology roles.,"Talent Acquisition, Sourcing, Communication, ATS"
Node.js Developer,ServerNest Labs,Pune,Full-time,9-14 LPA,Build backend APIs and maintain services for hiring workflows.,"Node.js, Express, MongoDB, REST"
AI Prompt Engineer,PromptPath AI,Remote,Contract,12-18 LPA,Design prompts and evaluation flows for assistant-driven recruiting experiences.,"Prompt Engineering, LLMs, Writing, Testing"
Research Associate,HireSignals Research,Delhi,Full-time,5-8 LPA,Research market trends and hiring patterns for product insights.,"Research, Writing, Analysis, Reporting"
UI Developer,Interface Works,Chandigarh,Full-time,7-11 LPA,Implement responsive interfaces for networking and careers features.,"HTML, CSS, JavaScript, Responsive Design"
Content Strategist,StoryHire Studio,Remote,Part-time,5-7 LPA,Plan content calendars and messaging for recruiting growth.,"Content Strategy, Writing, Research, SEO"
Data Engineer,Pipeline Vista,Hyderabad,Full-time,14-20 LPA,Create data pipelines and ETL jobs for hiring intelligence.,"Python, SQL, ETL, Airflow"
Technical Program Manager,SyncBridge Tech,Mumbai,Full-time,18-25 LPA,Coordinate cross-functional product delivery across teams.,"Program Management, Agile, Planning, Communication"
